Hpa	At
HARXLL73_group	AT1G03960
HARXL14	AT1G06510
HARXL60	AT1G06510
HARXL8	AT1G06510
HARXL106_group	AT1G09270
HARXLL470_WACO9	AT1G13030
HARXL147	AT1G14340
HARXL17_WACO9	AT1G14340
avrB_group	AT1G14920
HARXL21	AT1G15750
HARXL44	AT1G17970
HARXLL470_WACO9	AT1G17970
HARXL16	AT1G18400
avrB_group	AT1G22920
avrC_group	AT1G22920
AvrPto5_Pma M4a	AT1G22920
avrPto_group	AT1G22920
AVRRPM1_group	AT1G22920
HARXL10_WACO9	AT1G22920
HARXL145	AT1G22920
HARXL16	AT1G22920
HARXL62	AT1G22920
HARXL68	AT1G22920
HARXL69	AT1G22920
HARXLL108	AT1G22920
HARXLL445_group	AT1G22920
HARXLL518_WACO9	AT1G22920
HOPAO1_group	AT1G22920
HOPAR1_group	AT1G22920
HopBF1_Pla 107	AT1G22920
HOPF_group	AT1G22920
HopO1-2_Pto DC3000	AT1G22920
HopP1_Pto DC3000	AT1G22920
HOPAO1_group	AT1G24050
HARXL145	AT1G25490
HARXL16	AT1G25490
HARXL149	AT1G27300
HARXLL492	AT1G27300
HARXLL495	AT1G27300
avrPto_group	AT1G29990
HOPAO1_group	AT1G29990
HARXL106_group	AT1G32230
HARXL68	AT1G45145
HARXL10_WACO9	AT1G50420
HARXL106_group	AT1G54060
HARXLL455	AT1G54060
HARXLL470_WACO9	AT1G54060
HARXLL470_WACO9	AT1G67170
HARXLL518_WACO9	AT1G69370
AVRRPM1_group	AT1G69690
HARXL10_WACO9	AT1G69690
HARXL145	AT1G69690
HARXL16	AT1G69690
HopBB1_Pmo M301020	AT1G69690
HARXL62	AT1G76850
HARXLL470_WACO9	AT1G76850
HARXLL470_WACO9	AT1G79430
HOPF_group	AT2G04740
avrPto_group	AT2G04800
HopC1_Pto DC3000	AT2G21380
HARXLCRN15	AT2G22480
HARXL14	AT2G23290
HARXL73	AT2G23290
HARXL8	AT2G23290
HARXLL60	AT2G23290
HARXLL437	AT2G23420
HARXL45_group	AT2G25650
HARXLL445_group	AT2G27480
HopA1_Pto DC3000	AT2G28890
HARXLL60	AT2G31260
HARXL45_group	AT2G34710
HARXLL429	AT2G34970
HARXLL445_group	AT2G35500
avrPto_group	AT2G35940
HARXL45_group	AT2G38750
HOPQ1-1_group	AT2G39760
HARXL73	AT2G41350
HARXLL455	AT2G41350
HARXLL518_WACO9	AT2G41350
HARXLL445_group	AT2G44010
HARXLL518_WACO9	AT2G44950
HARXLL73_group	AT2G44950
HARXL45_group	AT2G45660
HARXLL464	AT2G46420
avrB_group	AT2G47060
HARXLL470_WACO9	AT3G01500
HopBB1_Pmo M301020	AT3G02150
HOPR1_group	AT3G02150
HARXL106_group	AT3G06720
HARXL21	AT3G07780
HOPF_group	AT3G07780
HopO1-2_Pto DC3000	AT3G07780
HopZ_group	AT3G07780
HARXL73	AT3G08530
HARXLL515	AT3G08530
HARXLL470_WACO9	AT3G09630
HARXLL518_WACO9	AT3G09980
HARXLL464	AT3G10250
HARXLL515	AT3G10250
HARXLL470_WACO9	AT3G11590
HopAG1_Psy B728A	AT3G11590
HopZ_group	AT3G11590
HOPM1_group	AT3G11720
HARXL74	AT3G13720
HARXL149	AT3G16310
avrB_group	AT3G17410
avrPto_group	AT3G17860
HARXL10_WACO9	AT3G17860
HopBB1_Pmo M301020	AT3G17860
HOPR1_group	AT3G17860
HARXLL445_group	AT3G19700
HARXL44	AT3G21490
avrB_group	AT3G25070
HARXL73	AT3G27960
HARXL79	AT3G27960
HARXLL60	AT3G27960
HARXLL73_group	AT3G27960
HOPAB_group	AT3G27960
HARXLL73_group	AT3G44720
HOPAB_group	AT3G46370
HOPR1_group	AT3G46940
AvrPto5_Pma M4a	AT3G47620
avrPto_group	AT3G47620
HARXL106_group	AT3G47620
HARXL108	AT3G47620
HARXL143	AT3G47620
HARXL146	AT3G47620
HARXL18	AT3G47620
HARXL21	AT3G47620
HARXL22	AT3G47620
HARXL39	AT3G47620
HARXL40_group	AT3G47620
HARXL42	AT3G47620
HARXL45_group	AT3G47620
HARXL47_group	AT3G47620
HARXL57	AT3G47620
HARXL67	AT3G47620
HARXL69	AT3G47620
HARXLCRN15	AT3G47620
HARXLCRN4	AT3G47620
HARXLL429	AT3G47620
HARXLL441	AT3G47620
HARXLL455	AT3G47620
HARXLL464	AT3G47620
HARXLL470_WACO9	AT3G47620
HARXLL515	AT3G47620
HARXLL73	AT3G47620
HopBB1_Pmo M301020	AT3G47620
HopBF1_Pla 107	AT3G47620
avrB_group	AT3G48150
avrC_group	AT3G48150
avrPto_group	AT3G48150
HARXLL445_group	AT3G48150
HARXLL518_WACO9	AT3G48150
HARXLL60	AT3G48150
HopO1-2_Pto DC3000	AT3G48150
HOPR1_group	AT3G48550
HARXLL445_group	AT3G49160
avrC_group	AT3G49570
HOPR1_group	AT3G49570
HOPV1_group	AT3G49570
avrB_group	AT3G49580
avrC_group	AT3G49580
AVRRPM1_group	AT3G49580
HopF3_Pmp 19322	AT3G49580
HOPG1_group	AT3G49580
HOPR1_group	AT3G49580
HOPV1_group	AT3G49580
avrB_group	AT3G51960
avrC_group	AT3G51960
HopAG1_Psy B728A	AT3G53350
avrPto_group	AT3G53410
HARXL73	AT3G54170
HARXLL470_WACO9	AT3G54390
HARXL73	AT3G54850
HARXLL60	AT3G56270
HOPAB_group	AT3G57720
HARXL149	AT3G60600
HARXLL492	AT3G60600
HARXLL495	AT3G60600
avrPto_group	AT3G63210
AVRRPT2_group	AT4G00710
HARXLL515	AT4G01090
avrPto_group	AT4G01920
HARXL106_group	AT4G02150
HARXLL445_group	AT4G02150
avrC_group	AT4G02550
HARXL45_group	AT4G02550
HARXL10_WACO9	AT4G02590
HopBB1_Pmo M301020	AT4G02590
HARXLL517_WACO9	AT4G04020
HOPAB_group	AT4G08150
HARXL65	AT4G09420
AvrRps4_Pph 1448A	AT4G11070
avrPto_group	AT4G11890
HOPAB_group	AT4G11890
HARXLL470_WACO9	AT4G15140
HARXLL518_WACO9	AT4G15545
HARXL106_group	AT4G16143
HARXL44	AT4G16380
HARXL73	AT4G17220
avrB_group	AT4G17680
avrC_group	AT4G17680
HOPAB_group	AT4G17680
HOPR1_group	AT4G17680
avrB_group	AT4G17710
HARXL149	AT4G19030
HARXLL492	AT4G19030
HOPD1_group	AT4G19030
HARXL10_WACO9	AT4G19700
HARXL44	AT4G19700
HARXL73	AT4G24840
HARXLL518_WACO9	AT4G24840
HARXLL60	AT4G24840
HARXLL73_group	AT4G24840
HARXLL455	AT4G25200
HARXL44	AT4G25920
HARXL79	AT4G26110
HARXLL73_group	AT4G26110
HARXL149	AT4G26450
HARXLL492	AT4G26450
HARXLL495	AT4G26450
