	name	in_main_component	degree	btw	clos	cc	is_target	is_significant_target
1	AT1G05410	WAHR	9	3763,86	0,240461	0	FALSCH	FALSCH
2	AT3G10140	WAHR	3	1017,52	0,218949	0	FALSCH	FALSCH
3	AT3G54850	WAHR	10	10873,8	0,255263	0,0444444	WAHR	FALSCH
4	AT5G19010	WAHR	1	0	0,203371	NA	FALSCH	FALSCH
5	AT3G07780	WAHR	27	30949,7	0,252391	0,002849	WAHR	WAHR
6	AT5G66720	WAHR	12	18021,6	0,264806	0	FALSCH	FALSCH
7	AT1G80040	WAHR	1	0	0,209383	NA	FALSCH	FALSCH
8	AT1G09660	WAHR	15	9150,42	0,274337	0,047619	FALSCH	FALSCH
9	AT2G38610	WAHR	3	1935,89	0,243238	0	FALSCH	FALSCH
10	AT1G15385	WAHR	7	3499,7	0,242746	0,142857	FALSCH	FALSCH
11	AT4G24840	WAHR	27	25429,1	0,270444	0,037037	WAHR	WAHR
12	AT1G63130	WAHR	1	0	0,18585	NA	FALSCH	FALSCH
13	AT3G53630	WAHR	5	5943,89	0,228254	0	FALSCH	FALSCH
14	AT3G08530	WAHR	42	70394,3	0,273494	0,00813008	WAHR	FALSCH
15	AT3G21215	WAHR	12	12983,9	0,230843	0,030303	FALSCH	FALSCH
16	AT5G39730	FALSCH	1	0	NA	NA	FALSCH	FALSCH
17	AT5G50130	FALSCH	1	0	NA	NA	FALSCH	FALSCH
18	AT2G39010	WAHR	4	10,9587	0,188877	0,5	FALSCH	FALSCH
19	AT4G23400	WAHR	8	1625,39	0,225087	0,464286	FALSCH	FALSCH
20	AT1G22840	WAHR	6	4059,48	0,265509	0,133333	FALSCH	FALSCH
21	AT4G01920	WAHR	12	11649,4	0,264253	0,106061	WAHR	FALSCH
22	AT3G16240	WAHR	4	203,322	0,226766	0,333333	FALSCH	FALSCH
23	AT4G35580	WAHR	160	150981	0,255643	0,0047956	WAHR	FALSCH
24	AT2G37620	WAHR	3	177,506	0,191605	0,333333	FALSCH	FALSCH
25	AT5G09810	WAHR	7	13440,7	0,234016	0,190476	FALSCH	FALSCH
26	AT1G20140	WAHR	7	5063,21	0,165598	0	FALSCH	FALSCH
27	AT5G67140	WAHR	2	1763,86	0,196803	0	FALSCH	FALSCH
28	AT1G24050	WAHR	6	4988,05	0,222831	0	WAHR	FALSCH
29	AT5G54920	WAHR	2	72,1127	0,197467	0	FALSCH	FALSCH
30	AT2G45850	WAHR	7	5176,54	0,25271	0,333333	FALSCH	FALSCH
31	AT4G12080	WAHR	4	916,756	0,214797	0,5	FALSCH	FALSCH
32	AT1G78100	WAHR	3	25,7259	0,208783	0,333333	FALSCH	FALSCH
33	AT4G28720	WAHR	5	467,624	0,226788	0,3	FALSCH	FALSCH
34	AT5G22290	WAHR	222	380308	0,277701	0,00476948	WAHR	FALSCH
35	AT2G43370	WAHR	20	34895,8	0,287855	0,0315789	FALSCH	FALSCH
36	AT5G61010	WAHR	36	58274,5	0,287304	0,00952381	FALSCH	FALSCH
37	AT3G52930	WAHR	2	2400	0,19051	0	FALSCH	FALSCH
38	AT5G03690	WAHR	1	0	0,160035	NA	FALSCH	FALSCH
39	AT5G53800	WAHR	4	1102,56	0,250914	0	FALSCH	FALSCH
40	AT2G20130	WAHR	12	11385,2	0,247118	0,0606061	FALSCH	FALSCH
41	AT3G13710	WAHR	20	61460,6	0,271791	0,1	FALSCH	FALSCH
42	AT1G67800	WAHR	5	8309,74	0,245225	0	FALSCH	FALSCH
43	AT4G23050	WAHR	5	7319,85	0,218611	0	FALSCH	FALSCH
44	AT1G69810	WAHR	12	11399,6	0,263528	0,0454545	FALSCH	FALSCH
45	AT5G17450	WAHR	3	1222,33	0,24104	0	FALSCH	FALSCH
46	AT3G42960	FALSCH	0	0	NA	NA	FALSCH	FALSCH
47	AT1G22920	WAHR	135	380423	0,307073	0,000995025	WAHR	WAHR
