Effector	At Gene
OEC101	AT3G47620
OEC103	AT3G47620
OEC103	AT5G48370
OEC106	AT3G47620
OEC110	AT3G47620
OEC112	AT3G51960
OEC113	AT3G47620
OEC115	AT3G10480
OEC115	AT3G21490
OEC115	AT4G28640
OEC115	AT5G08130
OEC117	AT3G47620
OEC117	AT4G25200
OEC118	AT1G55170
OEC118	AT2G05230
OEC118	AT3G14750
OEC119	AT1G25490
OEC119	AT3G25800
OEC119	AT3G27010
OEC119	AT3G47620
OEC120	AT3G47620
OEC123	AT2G23420
OEC123	AT3G47620
OEC125	AT3G47620
OEC14	AT3G27010
OEC16	AT2G23420
OEC16a	AT3G47620
OEC21	AT1G22920
OEC21	AT1G69690
OEC21	AT2G02540
OEC21	AT3G27010
OEC21	AT3G47620
OEC23a	AT3G47620
OEC23b	AT3G47620
OEC25	AT1G22920
OEC25	AT3G06940
OEC25	AT3G51960
OEC25	AT3G61150
OEC25	AT4G24840
OEC25	AT5G11980
OEC25	AT5G24660
OEC25b	AT2G23420
OEC27	AT2G45680
OEC27	AT3G47620
OEC35	AT3G47620
OEC35	AT5G65180
OEC39	AT1G69690
OEC39	AT2G45680
OEC39	AT3G47620
OEC45	AT1G12520
OEC45	AT1G21200
OEC45	AT1G63480
OEC45	AT1G77250
OEC45	AT2G02540
OEC45	AT3G02150
OEC45	AT3G08530
OEC45	AT3G21215
OEC45	AT3G22420
OEC45	AT3G47620
OEC45	AT3G51960
OEC45	AT4G00120
OEC45	AT4G01090
OEC45	AT4G08150
OEC45	AT4G15730
OEC49	AT2G45680
OEC54	AT2G23420
OEC55	AT1G04690
OEC55	AT3G47620
OEC56	AT3G21490
OEC56	AT4G26110
OEC59	AT4G08320
OEC60	AT3G47620
OEC61	AT1G22920
OEC61	AT3G02150
OEC61	AT4G17680
OEC63	AT3G01670
OEC63	AT3G08530
OEC63	AT4G11790
OEC65	AT1G17700
OEC65	AT1G55190
OEC65	AT3G13720
OEC67	AT1G22920
OEC67	AT1G25550
OEC67	AT1G69690
OEC67	AT2G37020
OEC67	AT2G45680
OEC67	AT3G27010
OEC67	AT3G48150
OEC68	AT3G27010
OEC70	AT1G22920
OEC70	AT1G25490
OEC70	AT1G54060
OEC70	AT2G45680
OEC70	AT3G47620
OEC70	AT5G42220
OEC71	AT1G22920
OEC76	AT2G45680
OEC76	AT4G25200
OEC77	AT3G27010
OEC78	AT1G22920
OEC78	AT1G25550
OEC78	AT1G31880
OEC78	AT1G69690
OEC78	AT2G02540
OEC78	AT3G02150
OEC78	AT3G17860
OEC78	AT3G58030
OEC78	AT4G02590
OEC78	AT4G04020
OEC78	AT4G22240
OEC78	AT4G25200
OEC78	AT4G30080
OEC78	AT5G42480
OEC78	AT5G48370
OEC78	AT5G65180
OEC84	AT1G23380
OEC84	AT5G48370
OEC85	AT1G22920
OEC88	AT3G47620
OEC88	AT4G25200
OEC89	AT1G22920
OEC92	AT3G47620
