oma_id	athal_id	AEGTA:	ARALY:	BRADI:	MAIZE:	MEDTR:	ORYSI:	SOLTU:	SORBI:	WHEAT:
OMA652697	AT3G51120	0	0	0	0	0	0	0	0	0
OMA776531	AT1G31040	1	1	1	0	0	1	0	0	1
OMA776537	AT3G60670	0	1	0	0	0	0	0	0	0
OMA412979	AT2G46160	0	1	1	1	0	1	1	1	1
OMA736054	AT1G60600	0	1	1	1	1	1	1	1	1
OMA832429	AT1G64090	1	1	0	0	0	0	0	0	1
OMA522297	AT3G15060	0	1	1	0	0	0	0	0	1
OMA724037	AT5G07430	0	1	0	0	0	0	0	0	0
OMA724033	AT1G69940	0	1	0	0	0	0	1	0	0
OMA724030	AT5G19730	0	0	0	1	0	0	0	0	1
OMA583366	AT4G11460	0	1	0	0	0	0	0	1	0
OMA406303	AT1G48280	0	1	0	0	1	0	0	0	0
OMA406304	AT4G35880	0	1	1	1	1	1	1	1	1
OMA406308	AT5G37790	0	1	0	0	0	0	1	0	0
OMA866517	AT5G14580	0	1	1	0	1	1	0	1	1
OMA403229	AT1G71210	1	1	1	1	1	1	1	1	1
OMA403221	AT3G51550	0	1	1	1	1	1	1	1	1
OMA653542	AT2G02230	0	1	0	0	0	0	0	0	1
OMA466054	AT5G12280	0	0	0	0	0	0	0	0	0
OMA466052	AT2G42955	0	1	0	0	0	0	0	0	0
OMA519999	AT1G60670	1	1	1	1	0	1	0	0	1
OMA479813	AT1G54550	0	0	0	0	0	0	0	0	0
OMA479811	AT3G23420	0	1	0	0	0	0	0	0	0
OMA479815	AT3G18910	0	1	0	0	0	0	0	0	0
OMA758511	AT3G43230	0	1	0	0	0	0	0	0	1
OMA668268	AT5G53810	0	1	0	0	1	0	0	0	0
OMA853530	AT1G14730	0	1	1	1	1	1	1	1	1
OMA853531	AT1G26100	0	1	0	0	1	0	1	0	0
OMA787988	AT5G37660	0	1	0	1	1	1	1	0	1
OMA406676	AT1G34370	0	1	0	1	0	0	0	0	1
OMA644945	AT5G22700	0	0	0	0	0	0	0	0	0
OMA839468	AT3G43300	0	1	1	1	1	1	0	1	1
OMA839467	AT1G01960	0	1	0	0	0	0	0	0	0
OMA775466	AT1G19950	0	1	1	1	1	1	0	0	1
OMA859968	AT1G12050	0	1	1	1	1	1	1	1	1
OMA451752	AT4G37540	0	0	0	0	0	0	0	0	0
OMA451758	AT1G65620	0	1	0	0	0	0	1	0	0
OMA451759	AT3G58190	0	1	0	0	0	0	0	0	0
OMA455998	AT3G17590	0	0	1	1	1	1	0	1	1
OMA455990	AT1G53760	0	1	0	1	1	1	1	1	1
OMA766886	AT3G14900	1	1	1	1	1	1	1	1	1
OMA761746	AT5G42390	1	1	1	1	1	1	1	1	1
OMA496120	AT5G14340	0	0	0	0	0	0	0	0	0
OMA795555	AT4G02195	0	1	0	0	0	0	0	0	0
OMA795551	AT1G08560	1	1	1	1	1	0	1	1	1
OMA634946	AT4G35300	0	1	0	0	1	1	0	1	0
OMA491204	AT1G56360	1	1	1	0	0	1	0	0	1
OMA491207	AT2G01880	0	1	0	0	1	1	0	0	0
OMA491200	AT2G27190	0	1	0	0	0	0	1	0	0
OMA742725	AT1G59510	0	0	0	0	0	0	0	0	0
OMA413671	AT1G73830	0	1	0	0	0	0	0	0	0
OMA413675	AT1G49210	0	1	0	0	1	0	0	0	0
OMA432002	AT3G57920	0	1	0	0	0	0	0	0	0
OMA395135	AT3G10060	0	1	1	1	1	1	0	1	1
OMA555540	AT5G28540	0	0	0	0	0	0	1	0	1
OMA727887	AT3G18270	0	1	1	1	0	1	1	1	0
OMA802238	AT3G50850	0	1	0	0	0	0	0	0	1
OMA474291	AT5G53260	0	1	0	0	0	0	0	0	0
OMA759421	AT2G43720	0	1	0	0	0	0	0	0	0
OMA759422	AT1G05740	0	1	0	0	0	0	0	0	1
OMA759428	AT5G27720	0	1	1	1	0	1	0	1	1
OMA505725	AT5G28590	0	1	0	0	0	0	0	0	0
OMA505724	AT1G19930	0	1	0	0	0	0	0	0	0
OMA774794	AT5G07060	0	1	0	0	0	0	0	0	0
OMA829408	AT2G36160	0	1	1	0	0	0	0	0	1
OMA416646	AT4G11370	0	0	0	0	0	0	0	0	1
OMA523676	AT5G57110	0	1	1	1	1	1	0	1	0
OMA523673	AT5G04930	1	1	1	0	1	0	0	1	1
OMA523671	AT5G21930	1	1	1	1	1	1	0	1	1
OMA411168	AT2G22090	0	1	0	0	0	0	0	0	0
OMA764372	AT4G34660	0	1	0	1	0	1	1	0	1
OMA392303	AT4G37300	0	1	1	0	1	0	1	0	0
OMA826982	AT1G43620	0	1	1	1	1	0	0	1	1
OMA864388	AT2G45170	0	1	0	0	0	0	0	0	0
OMA790246	AT1G44760	0	1	1	1	0	0	1	1	1
OMA505880	AT4G28790	0	0	0	0	0	0	0	0	0
OMA709439	AT5G04830	0	1	1	1	1	1	1	1	1
OMA674306	AT3G10900	0	1	0	0	0	0	1	0	1
OMA417016	AT3G55680	0	1	0	0	0	0	0	0	0
OMA487097	AT5G66320	0	1	0	0	0	0	0	0	0
OMA628769	AT1G65790	0	0	0	0	0	0	0	0	1
OMA677026	AT2G39870	0	1	0	0	0	0	0	0	0
OMA677027	AT3G54000	0	1	0	0	0	0	0	0	1
OMA740301	AT1G15900	0	1	0	1	0	1	1	1	1
OMA740304	AT5G50380	0	1	0	1	1	1	1	1	1
OMA653040	AT1G62760	0	0	0	0	0	1	0	0	1
OMA653044	AT1G70720	0	1	0	0	0	0	0	0	0
OMA514617	AT3G26935	1	1	1	1	0	1	1	1	1
OMA514616	AT4G00840	0	1	1	1	1	1	1	1	1
OMA514615	AT3G60800	1	1	0	1	1	1	0	1	1
OMA827942	AT5G56360	0	1	1	1	1	1	1	1	1
OMA682866	AT1G67150	0	1	0	0	0	0	0	0	0
OMA834629	AT1G78620	0	1	1	1	0	1	0	1	1
OMA834628	AT5G19930	0	1	1	1	0	1	1	1	1
OMA693908	AT4G26055	0	1	0	0	1	0	1	0	1
OMA410669	AT5G41200	0	1	0	0	0	0	0	0	0
OMA410661	AT1G49130	0	1	0	0	0	0	0	0	0
OMA410662	AT1G25420	1	1	1	1	0	1	0	0	1
OMA410667	AT1G56670	1	1	0	0	0	0	0	0	1
OMA410666	AT4G09130	0	0	0	0	0	0	0	0	0
OMA584349	AT2G15080	0	0	0	0	0	0	1	0	0
OMA486248	AT3G19240	0	1	0	0	1	0	0	0	0
OMA486249	AT1G26500	0	1	1	1	1	1	1	1	1
OMA486246	AT3G20440	0	1	1	1	0	0	0	1	1
OMA723935	AT4G02300	0	1	0	0	0	0	0	0	1
OMA719543	AT4G00440	0	1	1	1	1	1	1	0	1
OMA719545	AT1G63670	0	1	0	0	0	0	0	0	0
OMA719548	AT4G39952	1	1	1	1	1	1	1	1	1
OMA852442	AT3G28500	0	1	0	0	0	0	0	0	0
OMA812775	AT1G51740	1	1	1	1	0	1	1	1	1
OMA752806	AT2G14255	0	0	1	1	1	1	1	0	1
OMA752807	AT5G20350	1	0	0	0	0	0	0	0	1
OMA815814	AT2G16920	0	1	0	0	0	0	0	0	0
OMA476915	AT2G41390	0	1	0	0	0	0	0	0	0
OMA476912	AT3G23805	0	1	0	0	0	0	0	0	0
OMA537262	AT2G41040	0	1	1	1	0	1	1	1	1
OMA694980	AT2G13840	0	1	0	0	0	1	1	1	1
OMA475679	AT1G76350	0	1	0	0	0	0	1	0	0
OMA475678	AT1G20640	0	1	1	1	0	1	0	1	1
OMA735325	AT4G16650	1	1	1	1	0	1	1	1	1
OMA735329	AT5G16550	0	1	1	0	1	0	0	0	1
OMA729322	AT5G16390	0	0	0	0	0	0	0	0	0
OMA687240	AT1G74880	0	1	0	0	0	0	0	0	0
OMA712862	AT5G65495	0	1	0	0	0	0	0	0	0
OMA746140	AT5G20420	0	1	0	0	1	0	0	0	1
OMA653441	AT5G01740	1	0	0	0	1	0	0	0	1
OMA485434	AT1G07060	0	1	1	0	1	0	1	1	1
OMA485439	AT4G12340	0	1	1	1	0	1	1	1	1
OMA666126	AT1G26660	0	0	1	1	0	1	1	1	1
OMA853211	AT3G49725	1	0	1	1	1	0	0	0	1
OMA641140	AT1G11940	0	1	0	0	0	0	0	0	0
OMA403443	AT3G05750	0	1	0	0	0	0	0	0	0
OMA403448	AT3G46290	0	1	1	1	1	1	1	1	1
OMA415034	AT2G47530	0	1	0	0	0	0	0	0	0
OMA406519	AT5G56310	0	1	1	1	1	1	1	1	1
OMA832224	AT2G39780	0	1	0	1	0	1	0	0	1
OMA536073	AT5G47950	0	1	0	0	0	0	0	0	0
OMA536078	AT5G24290	0	1	0	0	0	0	0	0	0
OMA470465	AT4G29070	0	1	0	0	1	0	0	0	0
OMA840916	AT3G63240	1	1	1	1	0	1	0	1	1
OMA707140	AT3G56210	0	1	1	1	1	1	1	1	1
OMA771728	AT1G68040	0	1	0	0	0	0	1	0	0
OMA554054	AT3G01490	0	1	1	0	0	0	1	1	0
OMA714186	AT4G10150	0	1	0	0	0	0	0	0	0
OMA850440	AT2G39470	0	1	1	1	0	1	1	0	1
OMA548502	AT3G56070	0	1	1	0	1	1	1	1	1
OMA771723	AT5G37990	0	1	0	0	0	0	1	0	0
OMA714797	AT3G28220	0	1	1	0	0	0	1	1	1
OMA860883	AT3G56090	0	0	0	0	0	0	0	0	1
OMA860880	AT3G11050	0	1	0	0	1	0	1	1	1
OMA860881	AT2G40300	0	1	0	0	0	1	0	0	1
OMA782058	AT2G27340	0	0	0	1	0	0	1	0	1
OMA782055	AT2G26610	0	1	0	0	0	0	0	0	0
OMA782057	AT3G58130	1	1	1	1	0	1	1	1	1
OMA451209	AT5G01790	0	1	0	0	0	0	0	0	0
OMA833470	AT2G01270	0	1	0	0	0	0	0	0	1
OMA402614	AT5G36740	0	1	0	0	0	0	0	0	0
OMA402612	AT5G10020	0	1	1	1	1	1	1	1	1
OMA416245	AT2G04240	0	1	1	1	1	1	0	1	1
OMA571422	AT3G25840	0	0	0	0	0	0	0	0	0
OMA786372	AT1G72680	0	1	1	1	0	1	1	1	0
OMA471272	AT2G20230	0	1	1	0	0	1	1	0	1
OMA464525	AT1G76190	0	1	0	0	0	0	0	0	0
OMA464527	AT2G36210	0	0	0	0	0	0	1	0	0
OMA496781	AT5G54070	0	1	0	0	0	0	0	0	0
OMA739554	AT3G44330	0	1	1	1	0	1	0	1	1
OMA834984	AT1G70410	1	1	1	1	1	0	0	1	1
OMA404441	AT5G58150	0	0	0	0	0	0	0	0	0
OMA834989	AT1G23730	0	1	0	0	0	0	0	0	1
OMA468631	AT5G15570	0	1	0	0	0	0	0	0	0
OMA826806	AT2G32520	1	1	1	1	0	1	0	1	1
OMA667659	AT2G25460	0	1	0	0	0	0	1	0	0
OMA826802	AT1G08610	1	1	1	1	1	1	0	1	1
OMA535316	AT5G45210	0	0	0	0	0	0	0	0	0
